url,label
http://scam-google.com/5mnlfhuyw6a5,1
https://www.wikipedia.org,0
http://apple/free/1fzcd1jm4t7x,1
http://login.paypal.com/login,1
http://amazon@phish.com/secure,1
http://login.google.com/login,1
http://paypal@scam.com/secure,1
http://bank.scam.com/verify,1
http://scam-paypal.com/8o17d0k58t2v,1
http://google@malicious.com/secure,1
https://www.github.com,0
https://www.github.com,0
http://128.139.167.42/account/yb3n79yr6238,1
https://www.amazon.com,0
http://login.apple.com/login,1
http://bank.evil.com/verify,1
https://www.wikipedia.org,0
https://www.stackoverflow.com,0
http://paypal/free/b47pi3wt8e3q,1
http://208.10.130.63/account/y119uptf38qw,1
http://amazon.phish.com/verify,1
http://amazon/free/lkmizhpsw873,1
https://www.wikipedia.org,0
https://www.stackoverflow.com,0
https://www.stackoverflow.com,0
http://malicious-bank.com/hwltpz0bfswe,1
http://google.malicious.com/verify,1
https://www.amazon.com,0
http://231.34.91.151/account/vyv79vwn7stk,1
http://google@scam.com/secure,1
http://login.amazon.com/login,1
http://phish-amazon.com/189f2x6jv4vq,1
http://237.59.63.10/account/wyut6d4lmsi0,1
https://www.wikipedia.org,0
http://paypal.evil.com/verify,1
http://scam-bank.com/n3r89ldzfizh,1
https://accounts.microsoft.com,0
http://208.166.195.7/account/a8atqqyjaiee,1
http://login.bank.com/login,1
http://login.paypal.com/login,1
https://www.wikipedia.org,0
http://123.133.210.133/account/fmltkcyadm2j,1
https://www.google.com,0
http://amazon/free/85xdgd0bhi2o,1
http://login.apple.com/login,1
https://www.amazon.com,0
http://evil-google.com/vcszui5er34i,1
http://amazon@malicious.com/secure,1
http://bank/free/pb7qbrgmkqp7,1
https://www.amazon.com,0
http://login.amazon.com/login,1
https://www.stackoverflow.com,0
https://www.github.com,0
http://malicious-google.com/buiwx36hsymk,1
http://google.malicious.com/verify,1
http://google.malicious.com/verify,1
http://scam-apple.com/m23niua6fcbe,1
http://evil-apple.com/a7lp5kr278xh,1
https://www.stackoverflow.com,0
http://login.paypal.com/login,1
http://210.186.74.125/account/rdyhgo3qz4m3,1
http://apple/free/9y9selttuoku,1
http://paypal@phish.com/secure,1
http://malicious-amazon.com/npo9tz7fagjz,1
http://bank@evil.com/secure,1
http://bank.phish.com/verify,1
http://apple.evil.com/verify,1
https://www.wikipedia.org,0
https://www.github.com,0
http://bank@malicious.com/secure,1
https://accounts.microsoft.com,0
http://apple.malicious.com/verify,1
http://paypal@phish.com/secure,1
http://login.amazon.com/login,1
http://google/free/zq7f03s8vxlu,1
http://login.bank.com/login,1
http://amazon.malicious.com/verify,1
http://login.amazon.com/login,1
https://www.stackoverflow.com,0
http://login.google.com/login,1
https://accounts.microsoft.com,0
https://www.stackoverflow.com,0
http://apple/free/00v1pv96u9cs,1
https://www.google.com,0
https://www.github.com,0
http://paypal@malicious.com/secure,1
http://39.44.155.207/account/2ibzr6ty8r48,1
https://accounts.microsoft.com,0
http://google.malicious.com/verify,1
http://bank.evil.com/verify,1
https://www.google.com,0
http://login.apple.com/login,1
http://apple@malicious.com/secure,1
https://www.github.com,0
https://www.google.com,0
http://amazon@scam.com/secure,1
https://www.wikipedia.org,0
http://google@evil.com/secure,1
http://36.155.159.177/account/54v4nm6pshgx,1
http://login.google.com/login,1
